23.06 - 21:00,Friendly,HC Jelgava Stars,['team_id=42152'],4:1,['match_id=897060599'],FireStorm,['team_id=10056']
06.07 - 21:00,League 8.round,Riga Par Dinamo,['team_id=20428'],5:3,['match_id=897112298'],HC Jelgava Stars,['team_id=42152']
,00:00,Tactical points offense 5 defense 5
penalty player - Jānis Sirsniņš4 on 5,04:59,
penalty player - Rasmus Damgaard3 on 5,05:28,
,06:35,Folmer Toft - 0:1 PP(Vasile Halip)
,07:03,"Maigonis Ušackis - 0:2 PP(genius pass Dennis Ivarsson, Petr Pozhnikov)"
penalty player - Jan Dolejší4 on 5,11:02,
Kuisma Vuohikorpi - 1:2 Shots from blue line(unassisted),14:13,
,15:02,Pulling the goalie
,20:00,Tactical points offense 5 defense 5
"Marek Nováček - 2:2 Behind the net(, Jānis Sirsniņš)",22:14,
"Geordie Rogers - 3:2 Shots from blue line(excellent pass Petr Hanuš, Lumír Šebela)",24:03,
,24:59,Aggressiveness +1
"Jānis Sirsniņš - 4:2 Behind the net(neat pass , Rasmus Damgaard)",37:11,
,38:56,Ice time distribution 65/55/45/35
,40:00,Tactical points offense 5 defense 5
,45:02,"Petr Pozhnikov - 4:3 Counter-attacks(genius pass Joshua Adams, Cyrille Boulanger)"
penalty player - 4 on 5,46:34,
penalty player - Jānis Sirsniņš4 on 5,50:35,
,53:21,penalty player - Francis Taukulis4 on 5
penalty player - Petr Hanuš4 on 4,53:48,
,59:10,penalty player - Francis Taukulis4 on 5
"Holger Roolf - 5:3 PP(excellent pass Jāzeps Štāls, Šimon Přibyl)",59:23,
penalty player - Rasmus Damgaard4 on 5,60:00,
07.07 - 21:00,Friendly,HC Jestřebí,['team_id=12790'],4:2,['match_id=897238709'],HC Jelgava Stars,['team_id=42152']
,00:00,Tactical points offense 5 defense 5
penalty player - David Hanzlík4 on 5,00:58,
Robert Zvěřina - 1:0 Short passes(genius pass Adam Kohoutek),04:20,
penalty player - Oskar Janík4 on 5,04:58,
,11:56,penalty player - Edmunds Bambergs4 on 5
,12:51,penalty player - Staņislavs Bullītis3 on 5
,20:00,Tactical points offense 5 defense 5
,20:08,Staņislavs Bullītis - 1:1 (Osvalds Jākabsons)
"Jakub Hendrych - 2:1 (genius pass Jakub Hanáček, David Hanzlík)",21:13,
Pulling the goalie,30:04,
penalty player - Tomáš Dobiáš4 on 5,35:04,
,40:00,Tactical points offense 5 defense 5
"Antonín Janů - 3:1 Shots from blue line(genius pass Michal Přikryl, Cato Nekstad)",40:16,
,40:58,Pulling the goalie
Antonín Janů - 4:1 Shots from blue line(Michal Přikryl),44:12,
,47:05,Arnolds Ziedkalns - 4:2 (perfect pass Dzidris Skrastiņš)
,52:07,penalty player - Staņislavs Bullītis4 on 5
penalty player - Jakub Hanáček4 on 4,53:03,
08.07 - 22:00,Friendly,Hc Black Tigers :B:,['team_id=58592'],0:2,['match_id=897240808'],HC Jelgava Stars,['team_id=42152']
,00:00,Tactical points offense 5 defense 5
penalty player - Ville Vainioinen4 on 5,07:59,
,20:00,Tactical points offense 5 defense 5
,20:10,"Joshua Adams - 0:1 (excellent pass Mário Iván, Vasile Halip)"
penalty player - Hannu Kaijanen4 on 5,24:00,
Pulling the goalie,30:00,
,32:59,penalty player - Edgars Miķelsons4 on 5
,40:00,Tactical points offense 5 defense 5
,47:02,penalty player - Dzidris Skrastiņš4 on 5
,51:26,"Folmer Toft - 0:2 (Leroy Sizemore, Maigonis Ušackis)"
penalty player - Tuomo Kämpe4 on 5,58:01,
09.07 - 21:00,League 9.round,HC Jelgava Stars,['team_id=42152'],6:4,['match_id=897112324'],Rīgas SKS,['team_id=25255']
Tactical points offense 5 defense 5,00:00,
Staņislavs Bullītis - 1:0 Behind the net(perfect pass Leroy Sizemore),03:44,
,06:00,penalty player - Austin Seller4 on 5
,08:19,penalty player - Ekrem Matijašević4 on 5
"Alberts Timanovskis - 2:0 Counter-attacks(perfect pass Maigonis Ušackis, Dzidris Skrastiņš)",14:12,
,19:18,"Patrick Ford - 2:1 Counter-attacks(average pass Adrians Grasis, Dennis Hansen)"
Pulling the goalie,19:55,
Tactical points offense 5 defense 5,20:00,
penalty player - Alberts Timanovskis4 on 5,22:01,
,26:45,"Adrians Grasis - 2:2 Counter-attacks(average pass Dennis Hansen, Andris Nadziņš)"
,28:03,penalty player - Vitālijs Mellups4 on 5
Mário Iván - 3:2 Counter-attacks(genius pass Alberts Timanovskis),30:37,
,32:33,Dainis Nekrasovs - 3:3 (neat pass Silvestrs Krūmiņš)
"Francis Taukulis - 4:3 rebound(genius pass Dennis Ivarsson, Leroy Sizemore)",35:32,
,36:23,"Aleksandrs Ozoliņš - 4:4 (genius pass Havel Navrátil, Ekrem Matijašević)"
Aggressiveness +1,40:00,
Tactical points offense 5 defense 5,40:00,
,50:01,penalty player - Adrians Grasis4 on 5
Atis Zilgalvis - 5:4 PP (Dennis Ivarsson),50:36,
,53:31,penalty player - Vinícius de Oliveira4 on 5
penalty player - Mário Iván4 on 4,54:00,
Atis Zilgalvis - 6:4 (unassisted),59:08,
